model,cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,n_outer_folds,n_oof_compounds,pooled_oof_mean_abs_group_shap,fold_mean_mean_abs_group_shap,fold_sd_mean_abs_group_shap,fold_mean_normalized_group_shap,fold_sd_normalized_group_shap,pooled_oof_mean_signed_group_shap,fold_mean_cancellation_fraction,minimum_fold_mean_abs_group_shap,maximum_fold_mean_abs_group_shap,fraction_folds_positive_mean_signed,minimum_cluster_size_used_by_model,maximum_cluster_size_used_by_model,raw_importance_rank_within_model,normalized_importance_rank_within_model
lightgbm_mse_regression,cluster_2339,2339,Cluster 2339: TpiPC10 (n=9),TpiPC10,TpiPC10,9,"[""TpiPC10"", ""piPC7"", ""piPC6"", ""piPC8"", ""piPC5"", ""piPC9"", ""piPC4"", ""piPC10"", ""piPC3""]",5,3156,0.010096196857075267,0.010096499477108133,0.006305027463083412,0.0066611309177825205,0.0040901110846577665,-0.003117956048297137,0.3699518372446573,0.0038183109688640087,0.020416294944408175,0.0,9,9,31,31
lightgbm_mse_regression,cluster_39,39,Cluster 39: ATSC3are (n=3),ATSC3are,ATSC3are,3,"[""ATSC3are"", ""ATSC3pe"", ""ATSC3se""]",5,3156,0.00955586896757505,0.009557381288750444,0.0035038255133743278,0.006249179577351868,0.002090786184353091,0.0014115650391042375,0.1841642384908702,0.004784495659206244,0.01309863727785978,0.8,3,3,32,33
lightgbm_mse_regression,cluster_24,24,Cluster 24: Sv (n=48),Sv,Sv,48,"[""Sv"", ""ATS1pe"", ""Sp"", ""apol"", ""ATS1are"", ""ATS1se"", ""Spe"", ""ATS0se"", ""Sare"", ""ATS0pe"", ""Sse"", ""VMcGowan"", ""ATS0are"", ""nBonds"", ""ATS1i"", ""TIC5"", ""TIC4"", ""nAtom"", ""TIC3"", ""Si"", ""ATS0v"", ""ATS0i"", ""ATS7d"", ""ATS8d"", ""TIC2"", ""ZMIC0"", ""LabuteASA"", ""ATS8v"", ""ATS8pe"", ""ATS8are"", ""SMR"", ""nHeavyAtom"", ""ATS8p"", ""Xp-1d"", ""ATS8se"", ""TIC1"", ""mZagreb2"", ""ATS7v"", ""Xp-1dv"", ""ATSC0v"", ""ATS7p"", ""WPath"", ""ATS8i"", ""ATS0p"", ""TIC0"", ""ECIndex"", ""bpol"", ""ATSC0i""]",5,3156,0.009549480287742588,0.009550257565444559,0.004833874249663291,0.006233401347675827,0.002851804159884486,0.0012315681160334248,0.5849249995464526,0.00703312294824791,0.0181485528642644,0.8,48,48,33,34
lightgbm_mse_regression,cluster_1,1,Cluster 1: AATS0Z (n=9),AATS0Z,AATS0Z,9,"[""AATS0Z"", ""MZ"", ""AATS0m"", ""Mm"", ""AMW"", ""AATS1m"", ""AATS1Z"", ""MIC0"", ""IC0""]",5,3156,0.009378148040368054,0.009378666074091484,0.0040033703649436266,0.006159439991466814,0.0024313427641786105,-0.0010433693115847683,0.5246884301883584,0.004685534488939694,0.015419989794696845,0.2,9,9,34,35
lightgbm_mse_regression,cluster_2155,2155,Cluster 2155: SRW10 (n=11),SRW10,SRW10,11,"[""SRW10"", ""Xpc-5d"", ""MWC08"", ""Xpc-6d"", ""MWC09"", ""MWC07"", ""MWC10"", ""Xpc-4d"", ""GGI3"", ""GGI4"", ""GGI2""]",5,3156,0.009367132669564905,0.00936363286921965,0.006392905474804447,0.006332342696158816,0.004660010012801959,0.0011381815160681709,0.40118416523271494,0.00491996768773837,0.020409002758848587,0.8,11,11,35,32
lightgbm_mse_regression,cluster_96,96,Cluster 96: WPSA4 (n=8),WPSA4,WPSA4,8,"[""WPSA4"", ""PPSA2"", ""WPSA2"", ""WPSA3"", ""FPSA2"", ""DPSA2"", ""PPSA4"", ""PPSA3""]",5,3156,0.008834916379303812,0.008835572022661884,0.005681601173177239,0.005825843865850418,0.0036940380330892546,-0.0021725120470861814,0.35754502497053225,0.00430453120179033,0.01869040181003989,0.2,8,8,36,36
lightgbm_mse_regression,cluster_87,87,Cluster 87: C1SP2 (n=1),C1SP2,C1SP2,1,"[""C1SP2""]",5,3156,0.008619311345629254,0.00862035618361165,0.00406865451582027,0.005643332453548238,0.0025454409968503813,-0.0011591480958900503,0.0,0.004508883228811202,0.014717436667074691,0.0,1,1,37,38
lightgbm_mse_regression,cluster_28,28,Cluster 28: ATS8Z (n=9),ATS8Z,ATS8Z,9,"[""ATS8Z"", ""ATS8m"", ""ATS7m"", ""ATS7Z"", ""ATS7dv"", ""ATS8dv"", ""GGI7"", ""GGI8"", ""ATSC0dv""]",5,3156,0.008566453908784742,0.008566559815452133,0.00573632166774571,0.005699174185857525,0.0037330246511934153,0.0019034694997749483,0.3937127749542795,0.0007977131129596671,0.014420267498801584,0.6,9,9,38,37
lightgbm_mse_regression,cluster_82,82,Cluster 82: SIC2 (n=3),SIC2,SIC2,3,"[""SIC2"", ""BIC2"", ""CIC2""]",5,3156,0.008328662482366887,0.008329160482644017,0.00232740374368333,0.005478170838290478,0.0013632037818733136,0.00029985440024902604,0.21344329390332767,0.005863658161789345,0.01120282476720903,0.6,3,3,39,40
lightgbm_mse_regression,cluster_97,97,Cluster 97: DPSA3 (n=3),DPSA3,DPSA3,3,"[""DPSA3"", ""WNSA3"", ""PNSA3""]",5,3156,0.008313508120748749,0.00831411282033766,0.0024945510479651473,0.005507278266739775,0.0017166465018129378,-0.0016782885088979234,0.13938423419545248,0.006405680917737017,0.012681442973130279,0.0,3,3,40,39
