scope,cluster_id,cluster_size,algorithmic_medoid,selected_representative,representative_source,mean_pairwise_abs_correlation,minimum_pairwise_abs_correlation,maximum_pairwise_abs_correlation,members_json,medoid_candidate_order_json
final,59,2,ATSC6m,ATSC6m,algorithmic_medoid,0.9993648277171603,0.9993648277171603,0.9993648277171603,"[""ATSC6Z"", ""ATSC6m""]","[""ATSC6m"", ""ATSC6Z""]"
final,60,3,ATSC6are,ATSC6are,algorithmic_medoid,0.9647088994079113,0.9486410413765227,0.984132537847531,"[""ATSC6are"", ""ATSC6pe"", ""ATSC6se""]","[""ATSC6are"", ""ATSC6pe"", ""ATSC6se""]"
final,61,1,ATSC6c,ATSC6c,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC6c""]","[""ATSC6c""]"
final,62,1,ATSC6d,ATSC6d,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC6d""]","[""ATSC6d""]"
final,63,1,ATSC6dv,ATSC6dv,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC6dv""]","[""ATSC6dv""]"
final,64,1,ATSC6i,ATSC6i,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC6i""]","[""ATSC6i""]"
final,65,2,ATSC6v,ATSC6v,algorithmic_medoid,0.8867697488200573,0.8867697488200573,0.8867697488200573,"[""ATSC6p"", ""ATSC6v""]","[""ATSC6v"", ""ATSC6p""]"
final,66,2,ATSC7m,ATSC7m,algorithmic_medoid,0.9993845337045358,0.9993845337045358,0.9993845337045358,"[""ATSC7Z"", ""ATSC7m""]","[""ATSC7m"", ""ATSC7Z""]"
final,67,3,ATSC7are,ATSC7are,algorithmic_medoid,0.9625334019829065,0.9445135101714672,0.9864133200636991,"[""ATSC7are"", ""ATSC7pe"", ""ATSC7se""]","[""ATSC7are"", ""ATSC7pe"", ""ATSC7se""]"
final,68,1,ATSC7c,ATSC7c,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC7c""]","[""ATSC7c""]"
final,69,1,ATSC7d,ATSC7d,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC7d""]","[""ATSC7d""]"
final,70,1,ATSC7dv,ATSC7dv,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC7dv""]","[""ATSC7dv""]"
final,71,1,ATSC7i,ATSC7i,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC7i""]","[""ATSC7i""]"
final,72,2,ATSC7v,ATSC7v,algorithmic_medoid,0.8703492327354496,0.8703492327354496,0.8703492327354496,"[""ATSC7p"", ""ATSC7v""]","[""ATSC7v"", ""ATSC7p""]"
final,73,2,ATSC8m,ATSC8m,algorithmic_medoid,0.9993466937291324,0.9993466937291324,0.9993466937291324,"[""ATSC8Z"", ""ATSC8m""]","[""ATSC8m"", ""ATSC8Z""]"
final,74,3,ATSC8are,ATSC8are,algorithmic_medoid,0.9619643029106911,0.9423216082841396,0.9850846293080522,"[""ATSC8are"", ""ATSC8pe"", ""ATSC8se""]","[""ATSC8are"", ""ATSC8pe"", ""ATSC8se""]"
final,75,1,ATSC8c,ATSC8c,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC8c""]","[""ATSC8c""]"
final,76,1,ATSC8d,ATSC8d,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC8d""]","[""ATSC8d""]"
final,77,1,ATSC8dv,ATSC8dv,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC8dv""]","[""ATSC8dv""]"
final,78,1,ATSC8i,ATSC8i,algorithmic_medoid,1.0,1.0,1.0,"[""ATSC8i""]","[""ATSC8i""]"
final,79,2,ATSC8v,ATSC8v,algorithmic_medoid,0.8657970413249834,0.8657970413249834,0.8657970413249834,"[""ATSC8p"", ""ATSC8v""]","[""ATSC8v"", ""ATSC8p""]"
final,80,2,SIC0,SIC0,algorithmic_medoid,0.9951276889937499,0.9951276889937499,0.9951276889937499,"[""BIC0"", ""SIC0""]","[""SIC0"", ""BIC0""]"
final,81,3,SIC1,SIC1,algorithmic_medoid,0.9466673069923551,0.92318298923101,0.9907652390834308,"[""BIC1"", ""CIC1"", ""SIC1""]","[""SIC1"", ""BIC1"", ""CIC1""]"
final,82,3,SIC2,SIC2,algorithmic_medoid,0.950134977524839,0.9258418669709796,0.9722686055979333,"[""BIC2"", ""CIC2"", ""SIC2""]","[""SIC2"", ""BIC2"", ""CIC2""]"
final,83,3,SIC3,SIC3,algorithmic_medoid,0.9504457991834947,0.9223372868941628,0.9791279398991688,"[""BIC3"", ""CIC3"", ""SIC3""]","[""SIC3"", ""CIC3"", ""BIC3""]"
