scope,cluster_id,algorithmic_medoid,selected_representative,representative_feature
final,443,ECFP_1253,ECFP_1253,ECFP_1253
final,444,ECFP_1254,ECFP_1254,ECFP_1254
final,445,ECFP_1255,ECFP_1255,ECFP_1255
final,446,ECFP_1256,ECFP_1256,ECFP_1256
final,447,ECFP_1257,ECFP_1257,ECFP_1257
final,448,ECFP_1258,ECFP_1258,ECFP_1258
final,449,ECFP_1259,ECFP_1259,ECFP_1259
final,450,ECFP_126,ECFP_126,ECFP_126
final,451,ECFP_1260,ECFP_1260,ECFP_1260
final,452,ECFP_1261,ECFP_1261,ECFP_1261
final,453,ECFP_1262,ECFP_1262,ECFP_1262
final,454,ECFP_1263,ECFP_1263,ECFP_1263
final,455,ECFP_1265,ECFP_1265,ECFP_1265
final,456,ECFP_1266,ECFP_1266,ECFP_1266
final,457,ECFP_1267,ECFP_1267,ECFP_1267
final,458,ECFP_1268,ECFP_1268,ECFP_1268
final,459,ECFP_1269,ECFP_1269,ECFP_1269
final,460,ECFP_127,ECFP_127,ECFP_127
final,461,ECFP_1270,ECFP_1270,ECFP_1270
final,462,ECFP_1271,ECFP_1271,ECFP_1271
final,463,ECFP_1272,ECFP_1272,ECFP_1272
final,464,ECFP_1273,ECFP_1273,ECFP_1273
final,465,ECFP_1274,ECFP_1274,ECFP_1274
final,466,ECFP_1275,ECFP_1275,ECFP_1275
final,467,ECFP_1276,ECFP_1276,ECFP_1276
final,468,ECFP_1278,ECFP_1278,ECFP_1278
final,469,ECFP_1279,ECFP_1279,ECFP_1279
final,470,ECFP_128,ECFP_128,ECFP_128
final,471,ECFP_1280,ECFP_1280,ECFP_1280
final,472,ECFP_1281,ECFP_1281,ECFP_1281
final,473,ECFP_1282,ECFP_1282,ECFP_1282
final,474,ECFP_1283,ECFP_1283,ECFP_1283
final,475,ECFP_1284,ECFP_1284,ECFP_1284
final,476,ECFP_1285,ECFP_1285,ECFP_1285
final,477,ECFP_1286,ECFP_1286,ECFP_1286
final,478,ECFP_1287,ECFP_1287,ECFP_1287
final,479,ECFP_1288,ECFP_1288,ECFP_1288
final,480,ECFP_1289,ECFP_1289,ECFP_1289
final,481,ECFP_129,ECFP_129,ECFP_129
final,482,ECFP_1290,ECFP_1290,ECFP_1290
final,483,ECFP_1291,ECFP_1291,ECFP_1291
final,484,ECFP_1292,ECFP_1292,ECFP_1292
final,485,ECFP_1293,ECFP_1293,ECFP_1293
final,486,ECFP_1294,ECFP_1294,ECFP_1294
final,487,ECFP_1295,ECFP_1295,ECFP_1295
final,488,ECFP_1296,ECFP_1296,ECFP_1296
final,489,ECFP_1297,ECFP_1297,ECFP_1297
final,490,ECFP_1298,ECFP_1298,ECFP_1298
final,491,ECFP_1299,ECFP_1299,ECFP_1299
final,492,ECFP_13,ECFP_13,ECFP_13
final,493,ECFP_130,ECFP_130,ECFP_130
final,494,ECFP_1300,ECFP_1300,ECFP_1300
final,495,ECFP_1301,ECFP_1301,ECFP_1301
final,496,ECFP_1302,ECFP_1302,ECFP_1302
final,497,ECFP_1303,ECFP_1303,ECFP_1303
final,498,ECFP_1304,ECFP_1304,ECFP_1304
final,499,ECFP_1305,ECFP_1305,ECFP_1305
final,500,ECFP_1306,ECFP_1306,ECFP_1306
final,501,ECFP_1307,ECFP_1307,ECFP_1307
final,502,ECFP_1308,ECFP_1308,ECFP_1308
