scope,cluster_id,cluster_size,medoid_candidate_rank,feature,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,algorithmic_medoid,selected_representative,is_algorithmic_medoid,is_selected_representative,members_json
final,1493,1,1,ECFP_398,0.0,1.0,1.0,1.0,0.0,860,0.0034762033531638733,ECFP_398,ECFP_398,True,True,"[""ECFP_398""]"
final,1494,1,1,ECFP_399,0.0,1.0,1.0,1.0,0.0,860,0.0034762033531638733,ECFP_399,ECFP_399,True,True,"[""ECFP_399""]"
final,1495,1,1,ECFP_4,0.0,1.0,1.0,1.0,0.0,860,0.04434829637641969,ECFP_4,ECFP_4,True,True,"[""ECFP_4""]"
final,1496,1,1,ECFP_40,0.0,1.0,1.0,1.0,0.0,860,0.009215792320173069,ECFP_40,ECFP_40,True,True,"[""ECFP_40""]"
final,1497,1,1,ECFP_401,0.0,1.0,1.0,1.0,0.0,860,0.018258518117901575,ECFP_401,ECFP_401,True,True,"[""ECFP_401""]"
final,1498,1,1,ECFP_402,0.0,1.0,1.0,1.0,0.0,860,0.00807328285559762,ECFP_402,ECFP_402,True,True,"[""ECFP_402""]"
final,1499,1,1,ECFP_403,0.0,1.0,1.0,1.0,0.0,860,0.004629529475392104,ECFP_403,ECFP_403,True,True,"[""ECFP_403""]"
final,1500,1,1,ECFP_404,0.0,1.0,1.0,1.0,0.0,860,0.006928069226608977,ECFP_404,ECFP_404,True,True,"[""ECFP_404""]"
final,1501,1,1,ECFP_405,0.0,1.0,1.0,1.0,0.0,860,0.0034762033531638738,ECFP_405,ECFP_405,True,True,"[""ECFP_405""]"
final,1502,1,1,ECFP_406,0.0,1.0,1.0,1.0,0.0,860,0.01937669010275825,ECFP_406,ECFP_406,True,True,"[""ECFP_406""]"
final,1503,1,1,ECFP_407,0.0,1.0,1.0,1.0,0.0,860,0.02160492157923202,ECFP_407,ECFP_407,True,True,"[""ECFP_407""]"
final,1504,1,1,ECFP_408,0.0,1.0,1.0,1.0,0.0,860,0.01937669010275825,ECFP_408,ECFP_408,True,True,"[""ECFP_408""]"
final,1505,1,1,ECFP_409,0.0,1.0,1.0,1.0,0.0,860,0.013758788534342887,ECFP_409,ECFP_409,True,True,"[""ECFP_409""]"
final,1506,1,1,ECFP_41,0.0,1.0,1.0,1.0,0.0,860,0.04958761492698757,ECFP_41,ECFP_41,True,True,"[""ECFP_41""]"
final,1507,1,1,ECFP_410,0.0,1.0,1.0,1.0,0.0,860,0.01937669010275825,ECFP_410,ECFP_410,True,True,"[""ECFP_410""]"
