scope,cluster_id,cluster_size,feature,algorithmic_medoid,selected_representative,representative_source,is_algorithmic_medoid,is_selected_representative,medoid_candidate_rank,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,members_json
final,2,18,Mse,Mare,Mare,algorithmic_medoid,False,False,3,0.041860859869851,0.958139140130149,0.8994588761183602,0.9991827633971676,0.0,860,0.0016092694791183825,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS0pe,Mare,Mare,algorithmic_medoid,False,False,4,0.04264671700068612,0.9573532829993139,0.895263309607149,0.9979887855648295,0.002325581395348837,858,0.31502897358710147,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS0se,Mare,Mare,algorithmic_medoid,False,False,5,0.0434702042675309,0.9565297957324691,0.9020098389296687,0.9991827633971676,0.0,860,0.4768696484904626,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,Mpe,Mare,Mare,algorithmic_medoid,False,False,6,0.04499916413312777,0.9550008358668722,0.888514318821152,0.9979887855648295,0.002325581395348837,858,0.0015538907554132372,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS1pe,Mare,Mare,algorithmic_medoid,False,False,7,0.04687678405240969,0.9531232159475903,0.891889931835954,0.9960863695726242,0.004651162790697674,856,0.14805760834247506,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS2pe,Mare,Mare,algorithmic_medoid,False,False,8,0.056087548680837096,0.9439124513191629,0.8612075151672257,0.9946394660263294,0.005813953488372093,855,0.19909185423994893,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,ETA_dEpsilon_A,Mare,Mare,algorithmic_medoid,False,False,9,0.05649301863499501,0.943506981365005,0.8715067001019754,0.9969118730643871,0.002325581395348837,858,0.014895771864355891,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS1are,Mare,Mare,algorithmic_medoid,False,False,10,0.05726248341981188,0.9427375165801881,0.8941879932892763,0.9960863695726242,0.004651162790697674,856,0.16884661835068915,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS2are,Mare,Mare,algorithmic_medoid,False,False,11,0.05810380208003729,0.9418961979199627,0.8689214382395707,0.9946394660263294,0.005813953488372093,855,0.22606852256369178,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
final,2,18,AATS2se,Mare,Mare,algorithmic_medoid,False,False,12,0.059135946891589075,0.9408640531084109,0.8598521106989873,0.9895345587269136,0.005813953488372093,855,0.18676839641834903,"[""AATS0are"", ""AATS0pe"", ""AATS0se"", ""AATS1are"", ""AATS1pe"", ""AATS1se"", ""AATS2are"", ""AATS2pe"", ""AATS2se"", ""AATS3are"", ""AATS3pe"", ""AATS3s"", ""AATS3se"", ""ETA_dEpsilon_A"", ""ETA_epsilon_1"", ""Mare"", ""Mpe"", ""Mse""]"
